topic_no	test_statistic	p-value	topic_words
topic_10	21.836843184929688	3.263955326366549e-104	celer quelque croire parler chose penser demander oui venir comprendre 
topic_59	21.694497807064764	1.0524644132039056e-101	pendlebury wagstaffe répondre inspecteur déclarer paraître croire brannigan demander jeune 
topic_08	20.363125690717073	7.677606856008285e-91	bureau demander homme prendre nom police trouver heure quelque donner 
topic_38	18.96734963990027	4.3325089553795824e-79	parler quelque oui penser chose demander chez prendre passer toujours 
topic_67	17.29512136403987	6.328508576905895e-66	bix gamadge houghton gantham celer forrester dorking cobb vauregard docteur 
topic_48	16.479134453302613	4.117502380259611e-60	thanet fen pettifer quartly inspecteur catchpole lineham professeur lingard rockett 
topic_37	16.094101818708562	1.1584264060549067e-57	inspecteur police homme yard policier chef scotland enquête affaire piggot 
topic_49	15.613250310203044	2.4937704160458617e-54	tante oncle celer père cousin lorsque regarder voiture prendre sœur 
topic_30	14.756376709835108	1.0703718038677296e-48	pascoe huby dalziel brewer leary wield mc lieutenant innés kotlikoff 
topic_85	14.528429331450692	2.828737246776552e-47	beecher heap filby ursell monk tooley tabora merv herriott sixsmith 
topic_41	14.001452018385704	4.516371060207453e-44	wigmore schmitty homme holmes wiggins schmidt allemand fuselli hil gayleigh 
topic_71	13.784462761186747	7.771551652251145e-43	mettre demander quelque chose air prendre laisser porte oui regarder 
topic_81	13.718633986707024	2.150150555723801e-42	step wace brandshaft blackie oncle hobart déclarer crow nathin monsieur 
topic_28	12.756369761497222	6.030109094189123e-37	merrivale bewlay masters répondre écrier celer lansing cependant voix trouver 
topic_88	12.62029172108679	3.331790070437401e-36	ferrières nims lefleur incendie desperches lindstrom amelot pepperdine kéryado abri 
topic_69	11.653077127698129	3.3822718983043045e-31	moore fellows rosbach jackman wilks petersen wigfull femme commissaire professeur 
topic_39	11.299237136118919	2.1117902039135657e-29	shaw quest dorange littlejohn coppock lingard tilling monsieur docteur rendre 
topic_56	11.135362135339228	1.2597395396193956e-28	parry docteur trouver wat celer voiture fordyce bracelet chéri jungle 
topic_94	10.74807534137874	8.875194630470314e-27	baumann frood pr hackett minton horrocks cambridge somerville hyssop étudiant 
topic_07	10.325839684648203	7.058900344413452e-25	testament thurston notaire chambre fellowes hériter corde strickland noirot monsieur 
topic_05	10.269314342434747	1.1887043044604892e-24	demander passer quoi quelque air temps jamais trouver chose donner 
topic_63	8.659896743360493	5.469930831864422e-18	parc puma canyon drury ranger jour sac eau animal photo 
topic_74	8.438762648911126	3.470179774092337e-17	jeune homme demander quelque vers fille regarder sourire oeil air 
topic_98	8.36636486084459	6.513763835538783e-17	empreinte trouver celui celer quelque prendre dossier photo paraître chose 
topic_04	7.919595065080089	2.5349744260838557e-15	main regarder prendre sac mettre sortir poche quelque chose trouver 
topic_40	7.409493179294289	1.3295162932143942e-13	chambre lit heure nuit porte dormir prendre coucher réveiller entendre 
topic_61	7.339320429546091	2.295630447557904e-13	cribb thackeray vibart combat homme langly englander barleduc agent pugiliste 
topic_06	7.2061036641514375	6.006912952053693e-13	père fille femme mère jamais jeune enfant jour aimer vivre 
topic_34	6.968043234354016	3.3445691894402108e-12	colonel margate cramer mme march crawford feu mère taplin revavae 
topic_75	6.910532194338382	5.097368788220342e-12	grouchko morluchet homme milioukine penser monsieur tête géorgien chose mafia 
topic_87	6.733656829052205	1.710674092647038e-11	route chemin finch chien vers village arbre voiture côté venir 
topic_19	6.5865857638033445	4.6911458463551244e-11	throgmorton greenfield haslett greening trager hedlam londres bureau inspecteur rendre 
topic_25	6.237992448336859	4.546073005868873e-10	journal lire livre écrire article hungerford nom bibliothèque publier auteur 
topic_96	6.198172928690563	5.850431458146275e-10	bateau cabine mer bord pont eau commandant port passager homme 
topic_84	5.71475122609985	1.1185592486888152e-08	holt meecham finch loftus quince scranton tibbett bertier commissaire inspecteur 
topic_45	5.638752995814312	1.74892458123547e-08	keif redstone mec quoi chien maharajah foutre tasseldar jamais train 
topic_23	4.542367654850265	5.608127629463572e-06	thursday mugnier grosbois copain clapp tarrant avocat sénateur peveley homme 
topic_80	4.190065908420765	2.8032630352730434e-05	porte ouvrir chambre trouver fenêtre escalier entrer quelque clé fermer 
topic_58	2.6485107197065165	0.008092432031758608	porte fenêtre mur grand ouvrir devant entrer étage table escalier 
topic_53	2.6029456437380816	0.00925122910234512	purbright teatime hopjoy periam dauvergne sutters soûle koubbian klemper trévidic 
