topic_no	test_statistic	p-value	topic_words
topic_82	45.22214606980189	0.0	fit demanda répondit vers air puis jeune porte tête oui 
topic_67	33.576195500879926	2.5506350029633394e-234	pu police crime affaire meurtre personne homme cas tué assassin 
topic_44	26.812429743545742	2.197207863031665e-153	ça dire oui chose quelque voulez savez jamais voir quoi 
topic_21	19.638307162960132	3.964841295247491e-84	tante oncle lherbier docteur testament trevarrow lorsque robineau delft baumann 
topic_19	18.40618222472744	1.3829760983573705e-74	monsieur dire oui voulez affaire homme temps savez quelques question 
topic_37	16.823273846724017	1.136997776293021e-62	monsieur mme madame inspecteur oui commissaire femme jeune dire mlle 
topic_18	16.634215092945844	2.0527687346786564e-61	heures chez soir heure femme temps voiture nuit pendant voir 
topic_15	16.547157244852528	6.553503660625749e-61	pouvait temps toute chose quelque devait allait quelques semblait savait 
topic_59	15.273923151573369	5.7633339427579474e-52	merrivale bewlay hartford whittaker gayleigh inspecteur mcnabe masters herrington slaughter 
topic_06	15.142828078430597	4.4024406365622727e-51	colonel piggot betts beaupré castagnac chaubouret docteur laversanne march earnshaw 
topic_13	15.070007103151124	1.1476834268560502e-50	pendlebury wagstaffe cribb inspecteur greenfield thackeray londres course chevaux cheval 
topic_42	14.06980304769234	1.776244138319344e-44	avocat step président témoin maître brandshaft procès throgmorton jurés gamadge 
topic_52	13.295576146063421	5.933774653746618e-40	cramer frost lieutenant holt margate hungerford innés macnair mc inspecteur 
topic_94	12.177894187134388	6.6181991387436185e-34	police corps inspecteur commissaire cadavre victime heures rapport bureau enquête 
topic_26	11.44658491885046	3.508590923319681e-30	femme jeune yeux cheveux fille homme visage sourire regard robe 
topic_91	10.808863312835003	4.63389015766335e-27	gunn tennison caldwell thanet bain otley lockwood pettifer krantz jacoby 
topic_41	10.744368637295015	9.187226022562353e-27	flaty fellows harpur mellick tendre vialles ferrières wilks vemon cochart 
topic_92	10.475253299250324	1.621552598183009e-25	laube pascoe huby dalziel wield stu keech fléchelle thackeray lomas 
topic_17	10.300357470797943	9.933203456433326e-25	howie skinner nims lefleur tente booth incendie radio lindstrom feu 
topic_38	10.251353906335073	1.4506499993176766e-24	jamais femme peur yeux toujours contre vérité homme pauvre toute 
topic_63	9.468970778868483	3.3048333851523886e-21	jamais toujours femme années temps entre jour autres point femmes 
topic_65	9.39730867390689	6.800254858924672e-21	wexford biggs burden himmelblau commandant graylop couch dunoyau mme dearborn 
topic_81	9.081144467805137	1.3001498709186345e-19	mendip viper aveyard quench cobb whitewell abbott maitland bruton farlock 
