topic_no	test_statistic	p-value	topic_words
topic_47	18.666843685992458	2.2100657572004493e-75	oncle tante fit dire tête voir campion pu bix crois 
topic_17	17.44896847663735	3.040057911381065e-66	pendlebury inspecteur wagstaffe aveyard oncle baumann constable fayrer pr répondit 
topic_49	15.698815740299146	1.2532723418403716e-54	dire oui voulez ça monsieur allez vais fit savez dites 
topic_74	15.035238181261999	5.018820718439252e-50	ça lieutenant carella femme fellows oui fit fille houghton kling 
topic_10	14.754583557023096	1.3906900040241183e-48	ça oui dire chose quelque jamais quoi femme quelqu voir 
topic_21	14.076472228315604	3.5872076345745134e-44	ça chatonne estivar nims chose lefleur ranch quelque weppo augie 
topic_80	13.337372149666233	6.633662854278814e-40	withers cribb thackeray margate cramer combat vibart selmer carrier nahour 
topic_72	13.202974602450103	3.746578836023142e-39	cayley holt mcfee inspecteur dodd potter fountain scranton kollecki donnelly 
topic_55	12.975892585655751	4.1874476008343723e-38	fit porte puis ouvrit sortit prit main vers poche bureau 
topic_41	12.356211299012484	9.826170388989075e-35	dr docteur médecin talolahti poison flacon inspecteur thanet autopsie suicide 
topic_54	11.584731700348883	1.1011838730749302e-30	kite inspecteur homme yard throgmorton hartford gayleigh londres herrington scotland 
topic_35	11.457192029973681	5.09198976619723e-30	grouchko todhunter gier bonape holz straber norwood farroway milioukine langlois 
topic_69	10.850816221957023	3.565671433084421e-27	photos photo empreintes thurston toke photographe homme appareil chambre clichés 
topic_57	10.815289629173925	4.7456366137231486e-27	finch tennison gallois chef harpur mellick tendre inspecteur répondit otley 
topic_40	9.327014562521216	1.4134660056905766e-20	dis demandai puis vis pris vers mis fit yeux pouvais 
topic_52	9.204653094254786	4.573855631166571e-20	jeune yeux femme fit regard vers demanda voix tête répondit 
topic_27	8.786066730635488	2.062175926669137e-18	leprat sernine hermantier lenormand pascoe huby dalziel jallu château wield 
topic_64	8.517808523928245	1.9680510776930916e-17	nuit heures chambre heure pouvait lit allait temps soir chez 
topic_76	8.044140911977578	1.0705150222128191e-15	gamadge appelé mère grofield stoner ellroy holmes femme victime quelques 
topic_34	7.451612581810646	1.028523314755468e-13	ça type gars flics dis jamais quoi air fit boulot 
topic_25	7.380273857669348	1.83660706727764e-13	ça adamsberg vandoosler demanda veilleux danglard homme type massart tête 
topic_75	7.378779209642724	1.8171626591714717e-13	cheval chevaux frost whittaker macnair course écurie cramer burroughs courses 
topic_00	7.366033493619119	2.0280893628642816e-13	decambrais cerveau ferrières peste schratt desperches amelot kéryado hinds puces 
topic_93	6.941967068795947	4.177357120397221e-12	yudel maisons homme weizmann côté street vers devant allée nouveau 
topic_23	6.536825985169279	6.895303964853758e-11	gessler cobb castain lorsque mornay oui guerzévitch ronga révérend westlake 
topic_15	5.970675129998164	2.472895997539274e-09	wexford testament notaire femme fit mère noblet trevarrow enfant burden 
topic_67	5.947530144231144	2.88683252893647e-09	ça môme dab sieur grand gars fit subito américain petits 
topic_22	5.551305201393568	2.9503666714760398e-08	quelque quelques ainsi ailleurs chose heure doute pu puis point 
topic_84	5.547503174355987	3.002720538170999e-08	eau route chemin bois vers loin terre arbres vent leurs 
topic_14	5.183079856049558	2.2474484210988114e-07	porte mur fenêtre escalier derrière bois côté lampe fenêtres murs 
topic_94	4.981228005236935	6.473339509560297e-07	porte chambre lit appartement escalier étage fenêtre couloir cuisine immeuble 
topic_20	3.745246469392244	0.00018169672098198501	père mère grand fille enfant parents jamais enfants jeune frère 
topic_11	3.651511207706463	0.0002627577633898072	dollars cinq cent banque dix vingt trois quatre billets cents 
topic_45	3.364564970370342	0.0007710904585027038	table café cuisine manger tasse pain thé déjeuner assiette eau 
topic_29	3.2929422356964175	0.0009971160023707997	police pu affaire meurtre homme tué personne crime femme assassin 
topic_50	2.424544293025633	0.015355968278832474	legs pj jour rothstein septembre nuit corsaire lorsque musil eïd 
topic_62	2.140069985578927	0.03238391829157906	bureau lettre papier dossier nom lettres trois rapport enveloppe quelques 
topic_83	2.017675080264875	0.04366935618141821	lorsque dis short hollywood gars ça doc flic fêlure los 
topic_44	1.8445729055073794	0.06514856484341125	yeux cheveux visage corps main tête fille mains lit femme 
topic_33	1.6698115499099146	0.0950062594751228	verre bouteille boire table whisky bière verres alcool eau comptoir 
topic_28	1.5950475754229458	0.11075140489723685	ça fit demanda puis tête yeux regarda répondit prit air 
topic_87	1.351566938999782	0.17655300443644645	feston foley anglais espagnol shaddermacher homme lovey shap grec châvez 
topic_91	1.1137427230693764	0.2654329699188995	vers main puis tête yeux voix fit contre visage mains 
topic_70	1.0056845996130548	0.31460420716176635	inspecteur police hommes policier homme vers demanda fit policiers chef 
topic_05	0.9370746809194351	0.3487503910684423	bleston piggot street betts chez jours samedi peppe cathédrale meurtre 
topic_04	0.6497732934866762	0.5158635749215886	puis ça pris tête demandé mis main yeux air dire 
topic_12	0.521370807878418	0.6021284365535191	voiture route volant portière arrière devant voitures moteur côté vers 
topic_56	-0.029836858327496614	0.9761980766709093	sern hungerford pendant stockler service homme devait opération sorte boyle 
topic_18	-0.17441508241501968	0.8615451806149661	homme monsieur jeune hôtel femme grand yeux air sourire cheveux 
topic_37	-0.4219714529986285	0.6730617779581017	journal article grand journaux journaliste presse photo histoire articles polletti 
topic_09	-0.42890226576762797	0.6680074349738804	cadin inspecteur steemer mengele comiti lardenne ricouart sloga buenos thiraud 
topic_24	-0.47590369309654906	0.6341603627949735	lenormant nolet lieutenant durut montfeurgny faulkner docteur gelbe hommes armenta 
topic_82	-0.8295743769096233	0.4068176021925104	dancourt rosbach farakhan maurer sénateur gunny lovejoy giraudas commissaire lansing 
topic_88	-1.2865701057152943	0.19831515998777502	ahorn homme ohihani ohisihan enfant femmes femme nom nokh celui 
topic_32	-1.6526290606030254	0.09849772572049666	adamsberg danglard commissaire veyrenc retancourt demanda oui homme vers lieutenant 
topic_06	-2.0315630475980417	0.042273869897991305	donahoo ça fit désiris saperstein ailot squelette cabirol bénech valesy 
topic_59	-2.5473324181323096	0.010885044956730951	arme revolver balle pistolet feu fusil canon hommes trois balles 
topic_65	-2.604875225550288	0.009234515768970664	ça fleck chez puis yeux mckev dis gélou montale toujours 
topic_36	-2.659395395784415	0.007859580402097483	ça boule type grand loin toujours genre autres trois quoi 
topic_99	-2.731882397874786	0.006329605401678032	duprest père ça pays grand mère faut monsieur enfants quartier 
topic_13	-2.9335103208249205	0.003365424386468387	téléphone voix numéro oui heures bureau chez heure appareil fil 
topic_02	-2.9976933333296905	0.0027336187766882334	merrivale buny bewlay beaupré masters castagnac fit slaughter docteur powell 
topic_38	-3.0492219188204657	0.0023055405431883654	step brandshaft blackie fabbri greenfield fit chaubouret jouve trager howery 
topic_16	-3.1648172351125727	0.0015618217877413053	ça oui dis faroux nom quoi toujours dire chez hein 
topic_78	-3.3668129367079436	0.0007665058732996487	bateau eau mer bord pont thayer byrum port île cabine 
topic_39	-3.8365391613994535	0.00012623678823538373	ça veux peux dis faut dire oui vais crois quoi 
topic_73	-3.9860599361803986	6.884729223930494e-05	laviolette ça devant grignon gendarmes nuit chabrand assassin lure trois 
topic_31	-4.06448729919941	4.9209853063929184e-05	béru bérurier quoi grand chez puis épaulard pinaud demande faut 
topic_01	-4.2887923504711285	1.8317256601678224e-05	musique film scène cinéma leurs théâtre autres écran devant orchestre 
topic_90	-4.357820599661915	1.3388184588703656e-05	heures trois soir dix heure cinq vingt huit chez quatre 
topic_08	-4.871619860787268	1.145413866627619e-06	train gare avion valise quai wagon compartiment voyage voyageurs aéroport 
topic_81	-5.4739710070348275	4.674006568446789e-08	cimetière leurs homme corps cercueil morts autres enfants jour hommes 
topic_68	-6.048426207412148	1.6526728604927819e-09	cellule prison club gardien fauteuil gardiens jour jours crime latimer 
topic_98	-6.311404722046312	3.006159880865174e-10	mme mère fille femme jamais autres faisait vieille toujours madame 
topic_63	-6.437700853463048	1.3715234969190548e-10	livre livres écrire écrit lire auteur bibliothèque français écrivain nom 
topic_46	-6.5851271078963105	5.36130471215008e-11	ça demande dis lorsque oui monsieur gars vais dire commissaire 
topic_66	-6.599682357705237	4.903193418888415e-11	caldwell commissaire monsieur krantz llob tête badge tatoo nicholson thobane 
topic_43	-6.603887904485903	4.768462815094346e-11	malaussène ça coudrier oui monsieur inspecteur divisionnaire silistri haymann hadouch 
topic_96	-6.726057444336448	2.004502526167022e-11	maigret commissaire femme bureau homme heure toujours oui temps chez 
topic_77	-7.464350299651308	1.0035849829025291e-13	corps yeux bone tête toute peur nuit quelque voix toutes 
topic_95	-7.466132464196757	1.0366004660024717e-13	avocat laube président témoin maître procès monsieur bencolin général jurés 
topic_71	-7.486230017682374	9.417035076100518e-14	directeur monsieur ministre dupont parc coulon jeune oui sérigny lapin 
topic_86	-8.030687547104254	1.3510430573951422e-15	flaty église leurs devant château père prêtre curé grand temps 
topic_53	-8.602349744043103	1.2383697841021092e-17	père mère grand algérie guerre quelques demandé oas jumeaux français 
